time,place,mag,type,geometry
1697495094131,Mariana Islands region,4.5,earthquake,"{'type': 'Point', 'coordinates': [147.5323, 17.9424, 10]}"
1697482144060,"62 km S of Vinchina, Argentina",4.3,earthquake,"{'type': 'Point', 'coordinates': [-68.2561, -29.3227, 39.716]}"
1697481199358,,5.0,earthquake,"{'type': 'Point', 'coordinates': [-67.1198, -24.5368, 184.722]}"
1697471537407,"66 km SSE of Akutan, Alaska",4.3,earthquake,"{'type': 'Point', 'coordinates': [-165.4331, 53.5682, 47.792]}"
1697471294804,Fiji region,4.1,earthquake,"{'type': 'Point', 'coordinates': [-177.6213, -19.2216, 595.112]}"
1697469540781,"37 km W of Masachapa, Nicaragua",4.2,earthquake,"{'type': 'Point', 'coordinates': [-86.8571, 11.796, 58.701]}"
1697468804482,southeast Indian Ridge,4.7,earthquake,"{'type': 'Point', 'coordinates': [85.0747, -41.7063, 10]}"
1697463051725,"36 km NNE of Hirara, Japan",4.7,earthquake,"{'type': 'Point', 'coordinates': [125.4917, 25.0818, 34.188]}"
1697459227890,"159 km NNE of Cruz Bay, U.S. Virgin Islands",3.9,earthquake,"{'type': 'Point', 'coordinates': [-64.4343, 19.727, 19]}"
1697456131726,"65 km NNW of Adak, Alaska",6.4,earthquake,"{'type': 'Point', 'coordinates': [-176.8502, 52.4445, 187.371]}"
1697456130000,"133 km NW of Atka, Alaska",6.7,earthquake,"{'type': 'Point', 'coordinates': [-175.5, 53.1, 253]}"
1697453040373,"268 km ESE of Attu Station, Alaska",3.6,earthquake,"{'type': 'Point', 'coordinates': [176.6438, 51.7033, 36.4]}"
1697452932858,"46 km NNE of Hirara, Japan",5.7,earthquake,"{'type': 'Point', 'coordinates': [125.5423, 25.1583, 27.852]}"
1697452285060,"28 km W of Humboldt Hill, CA",4.02,earthquake,"{'type': 'Point', 'coordinates': [-124.5208333, 40.756, 23.63]}"
1697451649740,"20 km E of Petrolia, CA",4.83,earthquake,"{'type': 'Point', 'coordinates': [-124.0548333, 40.3156667, 31.06]}"
1697450748805,Mid-Indian Ridge,4.7,earthquake,"{'type': 'Point', 'coordinates': [70.0503, -25.154, 10]}"
1697445970513,"129 km NE of Labasa, Fiji",5.2,earthquake,"{'type': 'Point', 'coordinates': [-179.6318, -15.7822, 10]}"
1697438915622,"near the east coast of the Kamchatka Peninsula, Russia",5.2,earthquake,"{'type': 'Point', 'coordinates': [160.2603, 53.4071, 61.853]}"
1697438030763,Kermadec Islands region,4.9,earthquake,"{'type': 'Point', 'coordinates': [-176.4717, -28.004, 10]}"
1697427700420,"38 km NNE of Dārchulā, Nepal",4.1,earthquake,"{'type': 'Point', 'coordinates': [80.7672, 30.1264, 10]}"
1697426035413,"196 km W of Port McNeill, Canada",4.9,earthquake,"{'type': 'Point', 'coordinates': [-129.8499, 50.7767, 10]}"
1697424891728,"120 km WSW of Severo-Kuril’sk, Russia",4.2,earthquake,"{'type': 'Point', 'coordinates': [154.6223, 50.1788, 161.021]}"
1697419758872,,4.3,earthquake,"{'type': 'Point', 'coordinates': [-177.9059, -18.8277, 481.805]}"
1697417617012,"93 km W of El Aguilar, Argentina",4.4,earthquake,"{'type': 'Point', 'coordinates': [-66.585, -23.0921, 214.174]}"
1697413355310,"53 km SE of Punta Cana, Dominican Republic",3.76,earthquake,"{'type': 'Point', 'coordinates': [-67.9906, 18.3031, 89]}"
1697411570380,"106 km SSW of Calama, Chile",4.4,earthquake,"{'type': 'Point', 'coordinates': [-69.2815, -23.3576, 92.817]}"
1697409880716,"108 km S of Puerto El Triunfo, El Salvador",4.9,earthquake,"{'type': 'Point', 'coordinates': [-88.5108, 12.3015, 46.097]}"
1697408192010,"63 km N of Hatillo, Puerto Rico",3.72,earthquake,"{'type': 'Point', 'coordinates': [-66.7596, 19.0581, 45]}"
1697407668083,"270 km WSW of Tual, Indonesia",4.4,earthquake,"{'type': 'Point', 'coordinates': [130.3721, -6.1592, 158.06]}"
1697405957716,"15 km NNE of Herāt, Afghanistan",4.1,earthquake,"{'type': 'Point', 'coordinates': [62.2717, 34.4708, 10]}"
1697399416440,"16 km NE of Ojai, CA",3.71,earthquake,"{'type': 'Point', 'coordinates': [-119.1363333, 34.5636667, 7]}"
1697390567652,"140 km E of Korsakov, Russia",4.2,earthquake,"{'type': 'Point', 'coordinates': [144.5829, 46.4458, 354.335]}"
1697387141147,,4.8,earthquake,"{'type': 'Point', 'coordinates': [-177.9056, -31.5926, 10]}"
1697383482029,"59 km NW of Dompu, Indonesia",4.7,earthquake,"{'type': 'Point', 'coordinates': [118.1147, -8.122, 10]}"
1697368537551,"21 km SSW of Rāmhormoz, Iran",5.3,earthquake,"{'type': 'Point', 'coordinates': [49.5001, 31.1027, 10]}"
1697361206094,"196 km SE of Katsuura, Japan",5.2,earthquake,"{'type': 'Point', 'coordinates': [141.7428, 33.8272, 16.108]}"
1697360314359,South Sandwich Islands region,4.8,earthquake,"{'type': 'Point', 'coordinates': [-25.4244, -58.9515, 35]}"
1697357086109,"40 km ESE of Qarah Bāgh, Afghanistan",4.4,earthquake,"{'type': 'Point', 'coordinates': [62.2022, 34.8331, 10]}"
1697352578632,,4.5,earthquake,"{'type': 'Point', 'coordinates': [-62.1783, 10.86, 112.889]}"
1697350196190,western Afghanistan,4.3,earthquake,"{'type': 'Point', 'coordinates': [62.2278, 34.5615, 10]}"
1697348501422,,4.2,earthquake,"{'type': 'Point', 'coordinates': [62.0626, 34.7892, 8.246]}"
1697346644307,"26 km NNE of Khanabad, Afghanistan",4.1,earthquake,"{'type': 'Point', 'coordinates': [69.2727, 36.8794, 115.125]}"
1697342188863,"27 km N of Herāt, Afghanistan",5.4,earthquake,"{'type': 'Point', 'coordinates': [62.1483, 34.5926, 10]}"
1697340960037,"30 km NNW of Herāt, Afghanistan",6.3,earthquake,"{'type': 'Point', 'coordinates': [62.1115, 34.6094, 6.323]}"
1697340001461,South Sandwich Islands region,4.9,earthquake,"{'type': 'Point', 'coordinates': [-23.1457, -58.4778, 10]}"
1697339718219,"58 km E of Waitara, New Zealand",4.3,earthquake,"{'type': 'Point', 'coordinates': [174.9113, -38.9711, 219.865]}"
1697327099159,"Izu Islands, Japan region",4.7,earthquake,"{'type': 'Point', 'coordinates': [142.0063, 30.8487, 10]}"
1697322745990,Chile-Bolivia border region,4.4,earthquake,"{'type': 'Point', 'coordinates': [-68.7844, -19.5927, 127.594]}"
1697321465472,"11 km NNE of La Libertad, Honduras",4.8,earthquake,"{'type': 'Point', 'coordinates': [-87.5784, 14.8581, 10]}"
1697321404625,South Sandwich Islands region,5.1,earthquake,"{'type': 'Point', 'coordinates': [-25.6245, -58.981, 45.753]}"
1697320388515,"142 km N of Joshīmath, India",4.4,earthquake,"{'type': 'Point', 'coordinates': [79.4271, 31.8328, 10]}"
1697307182136,"30 km SSW of Madang, Papua New Guinea",4.6,earthquake,"{'type': 'Point', 'coordinates': [145.713, -5.4852, 82.399]}"
1697300712056,,4.3,earthquake,"{'type': 'Point', 'coordinates': [134.288, 41.1132, 427.025]}"
1697292431457,"18 km NNE of Bolu, Turkey",4.7,earthquake,"{'type': 'Point', 'coordinates': [31.7261, 40.8784, 10]}"
1697292244694,"72 km E of Hualien City, Taiwan",4.9,earthquake,"{'type': 'Point', 'coordinates': [122.3165, 23.9582, 10]}"
1697282975432,"Near the coast of Tarapaca, Chile",4.6,earthquake,"{'type': 'Point', 'coordinates': [-70.3271, -20.7953, 71.593]}"
1697281776022,"108 km SE of Sanana, Indonesia",4.9,earthquake,"{'type': 'Point', 'coordinates': [126.6935, -2.7216, 10]}"
1697276800484,"53 km NW of Iheya, Japan",4.6,earthquake,"{'type': 'Point', 'coordinates': [127.6674, 27.4161, 104.962]}"
1697272175141,central Mid-Atlantic Ridge,5.4,earthquake,"{'type': 'Point', 'coordinates': [-36.6975, 7.5261, 10]}"
1697270712808,"73 km E of Hualien City, Taiwan",4.8,earthquake,"{'type': 'Point', 'coordinates': [122.3284, 23.9729, 21.476]}"
1697270398858,"59 km SSE of Kastrí, Greece",4.4,earthquake,"{'type': 'Point', 'coordinates': [24.2845, 34.3249, 10]}"
1697270010141,"67 km E of Hualien City, Taiwan",4.9,earthquake,"{'type': 'Point', 'coordinates': [122.267, 23.9691, 19.372]}"
1697268179522,,4.1,earthquake,"{'type': 'Point', 'coordinates': [136.6634, 34.3404, 355.217]}"
1697265251230,,5.7,earthquake,"{'type': 'Point', 'coordinates': [179.7323, -31.3282, 415.151]}"
1697262969439,"51 km SSE of Madang, Papua New Guinea",4.9,earthquake,"{'type': 'Point', 'coordinates': [145.9583, -5.659, 67.53]}"
1697261103079,South Sandwich Islands region,4.8,earthquake,"{'type': 'Point', 'coordinates': [-25.6471, -60.4998, 10]}"
1697257993692,"271 km SSE of Tateyama, Japan",4.8,earthquake,"{'type': 'Point', 'coordinates': [140.8365, 32.6693, 56.954]}"
1697257210434,"47 km SSE of Kastrí, Greece",4.1,earthquake,"{'type': 'Point', 'coordinates': [24.2608, 34.435, 10]}"
1697255494070,"54 km SE of Boca de Yuma, Dominican Republic",3.74,earthquake,"{'type': 'Point', 'coordinates': [-68.3063333333333, 17.9761666666667, 11.95]}"
1697250564932,"78 km ENE of Mutsu, Japan",4.9,earthquake,"{'type': 'Point', 'coordinates': [142.1157, 41.4868, 61.485]}"
1697249161575,"9 km W of El Pitahayo, Mexico",4.8,earthquake,"{'type': 'Point', 'coordinates': [-98.6146, 16.5239, 38.94]}"
1697249004905,Fiji region,4.4,earthquake,"{'type': 'Point', 'coordinates': [-179.1936, -21.15, 604.338]}"
1697241012273,"60 km SE of Madang, Papua New Guinea",4.4,earthquake,"{'type': 'Point', 'coordinates': [146.1329, -5.6408, 95.866]}"
1697236903650,"34 km NNE of Soda Springs, Idaho",3.8,earthquake,"{'type': 'Point', 'coordinates': [-111.516666666667, 42.9546666666667, 1.96]}"
1697227331098,"68 km ENE of La Tirana, Chile",4.1,earthquake,"{'type': 'Point', 'coordinates': [-69.0769, -20.0538, 104.322]}"
1697219103579,"33 km NE of Zindah Jān, Afghanistan",4.5,earthquake,"{'type': 'Point', 'coordinates': [61.9635, 34.5908, 10]}"
1697212658482,Reykjanes Ridge,4.6,earthquake,"{'type': 'Point', 'coordinates': [-32.3529, 58.1973, 10]}"
1697206856587,"15 km S of Orcopampa, Peru",4.5,earthquake,"{'type': 'Point', 'coordinates': [-72.3642, -15.4066, 105.791]}"
1697203194735,"45 km SW of Ashkāsham, Afghanistan",4.5,earthquake,"{'type': 'Point', 'coordinates': [71.1857, 36.3836, 131.652]}"
1697198018530,Fiji region,4.2,earthquake,"{'type': 'Point', 'coordinates': [-178.4512, -17.8041, 579.881]}"
1697195610979,"18 km SSE of Qarah Bāgh, Afghanistan",4.2,earthquake,"{'type': 'Point', 'coordinates': [61.8689, 34.7942, 10]}"
1697192141853,"43 km S of Murghob, Tajikistan",4.4,earthquake,"{'type': 'Point', 'coordinates': [73.9805, 37.7761, 85.91]}"
1697191191988,"Hokkaido, Japan region",5.0,earthquake,"{'type': 'Point', 'coordinates': [140.1595, 41.0801, 172.478]}"
1697187274504,south of the Fiji Islands,5.2,earthquake,"{'type': 'Point', 'coordinates': [179.9884, -23.5137, 554.733]}"
1697175679471,"51 km NW of Pante Makasar, Timor Leste",4.4,earthquake,"{'type': 'Point', 'coordinates': [124.0155, -8.9118, 113.397]}"
1697174456030,"32 km S of La Romana, Dominican Republic",3.88,earthquake,"{'type': 'Point', 'coordinates': [-68.9838, 18.1306, 90]}"
