Id,Year,Month,Day,Hour,Minute,Second,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
9991,2013,5,1,6,57,13.4,INDIA,"INDIA:  KASHMIR:  DODA, KISHTWAR, RAMBAN",33.061,75.863,15,5.7,,3,90,19.5,1136
9992,1968,4,18,19,38,15,ITALY,ITALY:  LIGURIA,44.08,8,7,4.6,6,,,,
9994,2013,5,11,2,8,8.5,IRAN,IRAN:  HORMOZGAN: BASHAGARD,26.56,57.77,15,6.1,,2,20,,
9995,1963,9,18,16,58,14.8,TURKEY,TURKEY:  YALOVA:  CINARCIK,40.698,29.159,30,6.2,8,1,,,7
9998,2013,5,24,5,44,48.9,RUSSIA,RUSSIA:  SEVERO KURILSKIYE,54.892,153.221,598,8.3,,,,,
9999,2013,2,15,3,20,26,RUSSIA,RUSSIA:  CHELYABINSK (METEOR EXPLOSION),55.15,61.41,,4.2,,,1000,,
10000,2013,3,11,3,1,37.4,CHINA,CHINA:  XINJIAN PROVINCE:  S,40.119,77.466,10,5.1,,,,,864
10002,2013,6,2,5,43,3.4,TAIWAN,TAIWAN:  JENAI,23.789,121.141,17,6.3,,4,21,1.1,
10003,2013,6,1,14,10,6.7,PHILIPPINES,"PHILIPPINES:  N. COTABATO:  KIMADZIL, KIBUGTONGAN",7.275,124.898,10,5.7,,,33,,
10005,2013,7,2,7,37,2.6,INDONESIA,INDONESIA:  BANDA ACEH,4.645,96.665,13,6.1,,48,2532,113,20401
10006,2013,6,22,5,42,39.8,INDONESIA,INDONESIA:  LOMBOK ISLAND,-8.305,116.058,47,5.1,,,50,,5370
10007,2013,6,18,23,2,9.8,RUSSIA,RUSSIA:  KEMEROVO,54.263,86.173,10,5.3,,,,,
10018,2013,7,21,23,45,56.6,CHINA,"CHINA:   GANSU:  DINGXI, MIN",34.512,104.262,8,6,,95,887,466,123000
10021,2013,7,21,5,9,31.4,NEW ZEALAND,NEW ZEALAND:  COOK STRAIT,-41.704,174.337,17,6.5,,,5,50,
10029,2013,8,21,12,38,29.7,MEXICO,"MEXICO:  SAN MARCOS, ACAPULCO",16.878,-99.498,21,6.2,8,,1,,
10030,2013,9,7,0,13,29.6,GUATEMALA,"GUATEMALA:  COATEPEQUE, QUETZALTENANGO",14.606,-92.121,66,6.4,7,1,52,2,3
10031,2013,8,31,0,4,17.8,CHINA,CHINA:  YUNNAN PROVINCE:  BENZILAN,28.243,99.35,8,5.6,,5,24,155,600
10032,2013,8,16,2,31,5.8,NEW ZEALAND,"NEW ZEALAND:  WELLINGTON, MARLBOROUGH",-41.734,174.152,8,6.5,9,,,,
10033,2013,8,7,9,6,52.2,GREECE,"GREECE:  CENTRAL:   PHTHIOTIS, REGGINI",38.689,22.695,0,5.3,4,,,,100
10034,2013,7,17,3,0,56.5,ALGERIA,ALGERIA:  HAMMAM MELOUANE,36.534,3.086,10,4.8,,,11,,
10035,2013,4,17,8,57,33.9,JAPAN,JAPAN: MIYAKEJIMA,33.958,139.352,9,5.8,,,3,,
10036,2013,4,18,0,50,38.5,USA,TEXAS:  WEST,31.817,-97.088,0,2.1,,14,200,100,50
10037,2013,5,19,9,7,26.5,ALGERIA,ALGERIA:  ALGIERS,36.703,5.261,7,4.9,,,5,,
10038,2013,7,8,2,13,40.6,INDONESIA,INDONESIA:  JAVA,-8.803,113.002,60,5.7,,,1,,124
10039,2013,9,24,11,29,48,PAKISTAN,"PAKISTAN:  AWARAN, KECH",26.951,65.501,15,7.7,4,825,619,100,32638
10040,2013,9,25,16,42,43.2,PERU,PERU:  AREQUIPA,-15.839,-74.511,40,7.1,8,,,,
10043,2013,9,28,7,34,6.5,PAKISTAN,PAKISTAN: AWARAN,27.183,65.505,12,6.8,7,22,50,,
10046,1993,6,18,11,52,54.8,KERMADEC ISLANDS (NEW ZEALAND),KERMADEC ISLANDS,-28.886,-176.819,20,6.6,,,,,
10048,2013,10,15,0,12,32.1,PHILIPPINES,"PHILIPPINES:  BOHOL, CEBU, SIQUIJOR IS",9.88,124.117,19,7.1,9,222,976,51.8,
10049,2013,10,12,13,11,53.4,GREECE,GREECE:  CRETE:  CHANIA,35.514,23.252,40,6.6,7,,1,,
10050,2013,10,22,5,40,39.1,INDONESIA,INDONESIA:  BANDA ACEH,5.103,95.971,10,5.4,5,1,2,,
10052,2013,10,25,17,10,19.7,JAPAN,JAPAN:  HONSHU:  E COAST,37.156,144.661,35,7.1,6,,1,,
10054,2013,11,17,9,4,55.5,ANTARCTICA,SCOTIA SEA:  SOUTH ORKNEY ISLANDS,-60.274,-46.401,10,7.7,,,,,
10056,2013,11,28,13,51,34,IRAN,IRAN:  BORAZJAN,29.32,51.31,8,5.8,5,8,200,,250
10059,2014,1,2,3,13,54.6,IRAN,IRAN:  BASTAK,27.15,54.448,8,5.2,,1,30,2,
10067,2014,1,20,2,52,44.4,NEW ZEALAND,"NEW ZEALAND: WELLINGTON, MANAWATU-WANGANUI",-40.66,175.814,28,6.1,7,,,,
10068,2014,1,13,4,1,3.2,USA TERRITORY,PUERTO RICO,19.043,-66.81,20,6.4,5,,,,
10069,2014,1,26,13,55,42.2,GREECE,GREECE:  KEFALONIA,38.208,20.453,8,6.1,8,,6,178,
10070,2014,1,25,5,14,18.5,INDONESIA,INDONESIA:  JAVA:  BANYUMAS,-7.986,109.265,66,6.1,6,,,,1
10071,2014,2,3,3,8,46.2,GREECE,GREECE:  KEFALONIA:  LIXOURION,38.264,20.39,5,6,6,,16,,
10072,2014,2,2,14,26,45.5,IRAN,IRAN:  GOHARAN,26.589,57.741,10,5.3,,,,,
10073,2014,2,12,9,19,49.1,CHINA,CHINA:  XINJIANG PROVINCE:  YUTIAN,35.905,82.586,10,6.9,3,,,174,25000
10074,2014,2,26,0,0,7,AUSTRALIA,AUSTRALIA:  KALGOORLIE,-30.679,121.187,0,4.5,,,,,
10075,2014,3,16,21,16,29.6,CHILE,CHILE:  IQUIQUE,-19.981,-70.702,20,6.7,7,,,,
10079,2014,4,1,23,46,47.3,CHILE,"CHILE:  NORTHERN:  IQUIQUE, ALTO HOSPICIO",-19.61,-70.769,25,8.2,8,7,,100,
10080,2014,4,3,2,43,13.1,CHILE,CHILE:  NORTHERN:  IQUIQUE,-20.571,-70.493,22,7.7,8,,,,
10081,2014,4,4,22,40,35.4,CHINA,CHINA:  YUNNAN PROVINCE:  XILUODU,28.174,103.619,25,5.4,,,21,80,75
10082,2014,3,29,4,9,42.2,USA,"CALIFORNIA:  LA HABRA, BREA, FULLERTON",33.933,-117.916,5,5.1,6,,,10.8,
10083,2014,4,10,23,27,45.6,NICARAGUA,"NICARAGUA:  NAGAROTE, MANAGUA",12.403,-86.378,13,6.1,6,2,250,3,168
10084,2014,4,12,20,14,39.3,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.27,162.148,23,7.6,,,,,
10085,2014,4,13,12,36,19.2,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.463,162.051,39,7.4,,,,,
10086,2014,4,14,5,7,3.1,NICARAGUA,"NICARAGUA:  MANAGUA, CIUDAD SANDINO",12.151,-86.281,10,5.2,7,,,,7
10087,2014,3,13,17,6,50.8,JAPAN,JAPAN:  SOUTHWESTERN,33.684,131.825,79,6.3,7,,18,,
10088,2014,4,18,14,27,24.9,MEXICO,MEXICO:  GUERRERO; MEXICO CITY,17.397,-100.972,24,7.2,8,,,,
10091,2014,4,19,13,28,0.8,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  SOLOMON SEA,-6.755,155.024,43,7.5,,,,,
10093,2014,5,5,11,8,43.4,THAILAND,THAILAND:  CHIANG RAI,19.656,99.67,6,6.1,6,1,32,62,20
10094,2014,5,8,22,51,15.8,PAKISTAN,PAKISTAN:  NAWABSHAH,26.387,68.358,15,4.5,,2,70,,
10095,2014,5,8,17,0,14.8,MEXICO,MEXICO:  TECPAN,17.235,-100.746,17,6.4,9,,,,
10096,2014,5,24,9,25,2.4,GREECE,"GREECE, TURKEY",40.289,25.389,6,6.9,9,3,310,450,
10097,2014,5,30,1,20,15.2,CHINA,CHINA:  YUNNAN PROVINCE:  YINGJIANG,25,97.845,10,5.9,,,45,2,3390
10098,2014,5,19,0,59,19.7,ALBANIA,ALBANIA:  BELSH,40.943,19.906,10,5,4,,,,
10099,2014,5,17,16,46,27,GERMANY,GERMANY:  HESSE,49.793,8.632,10,3.6,5,,,1.36,
10100,2014,6,23,20,53,9.7,USA,ALASKA:  ALEUTIAN ISLANDS,51.849,178.735,109,7.9,6,,,,
10101,2014,6,23,19,19,15.9,NEW ZEALAND,KERMADEC ISLANDS: SSE OF RAOUL ISLAND,-29.977,-177.725,20,6.9,,,,,
10102,2014,7,7,11,23,54.8,MEXICO,MEXICO; GUATEMALA:  SAN MARCOS,14.724,-92.461,53,6.9,8,3,33,,
10103,2014,8,1,4,11,16.5,ALGERIA,ALGERIA:  ALGIERS,36.856,3.181,10,5.5,7,6,420,,
10104,2014,7,29,10,46,14.7,MEXICO,MEXICO:  OAXACA,17.682,-95.653,107,6.3,7,1,1,,
10105,2014,7,11,19,22,0.8,JAPAN,JAPAN:  SANRIKU,37.005,142.453,20,6.5,5,,,,
