Id,Year,Month,Day,Hour,Minute,Second,Tsunami,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
10266,2017,9,8,4,49,2,5658,MEXICO,"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA",14.761,-94.103,46,8.2,9,98,251,4000,47468
10267,2017,9,19,18,14,7,,MEXICO,"MEXICO: MEXICO CITY, MORELOS, PUEBLA",18.339,-98.68,39,7.1,9,369,6000,8000,226
10268,2017,9,23,12,53,48,,MEXICO,MEXICO:  OAXACA,16.626,-95.078,10,6.1,,5,7,,11
10269,2017,9,23,20,48,16,,PHILIPPINES,PHILIPPINES: MINDANAO: LANAO DEL SUR PROVINCE,7.562,124.743,8,5.7,,,11,,55
10271,1975,12,16,21,1,39,5661,FIJI,FIJI ISLANDS,-18.672,178.464,33,4.9,,,,,
10272,2017,10,31,0,43,12,5663,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-21.697,169.149,24,6.7,3,,,,
10273,2017,11,1,2,24,7,5664,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-21.648,168.859,22,6.6,3,,,,
10275,2017,11,12,18,18,18,,IRAN,IRAN: KERMANSHAH; IRAQ: KURDISTAN,34.911,45.959,19,7.3,8,630,12900,750,15500
10276,2017,11,13,2,29,8,,COSTA RICA,COSTA RICA: JACO,9.515,-84.487,19,6.5,8,2,,,
10277,2017,11,15,5,30,22,,SOUTH KOREA,SOUTH KOREA: POHANG,36.074,129.27,10,5.5,8,,90,75.8,
10280,1976,7,11,16,54,31.8,5669,PANAMA,PANAMA: DARIEN,7.4,-78.1,22,6.7,,5,7,,
10281,2017,11,19,22,43,25,5670,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-21.325,168.672,10,7,4,,,,
10282,2017,11,18,16,7,3,,INDONESIA,INDONESIA: NORTH MALUKU: MOROTAI,2.465,128.148,8,5.8,,1,,,
10283,2017,8,11,21,45,4,,PERU,PERU: AREQUIPA,-16.299,-73.474,41,5.6,,1,,,
10284,2017,7,18,2,6,15,,PERU,PERU:  AREQUIPA,-16.416,-73.636,44,6.4,,1,1,,
10285,2017,11,23,9,43,7,,CHINA,CHINA: CHONGQING: WULONG,29.349,108.058,10,5.1,4,,8,1.5,1
10286,2017,12,1,2,32,4,,IRAN,IRAN:  KERMAN,30.746,57.307,9,6.1,5,,51,,
10287,2017,12,15,16,47,23,,INDONESIA,INDONESIA:  JAVA,-7.492,108.174,90,6.5,7,4,36,,
10288,2017,12,20,19,57,7,,IRAN,IRAN:  ALBORZ,35.649,50.962,10,4.9,6,2,117,,
10289,2017,12,26,21,24,59,,IRAN,"IRAN: ALBORZ, TEHRAN",35.716,51.256,10,4,4,1,57,,
10290,2018,1,6,15,22,12,,IRAN,IRAN:  KERMANSHAH,34.585,45.77,10,5,7,,51,,
10291,2018,1,10,2,51,29,5672,HONDURAS,HONDURAS,17.483,-83.52,19,7.5,8,,,,
10292,2018,1,4,10,47,7,,MONTENEGRO,BALKANS NW:  MONTENEGRO: BERANE,42.66,19.862,10,5.1,4,,,,
10293,2018,1,8,,,,,NETHERLANDS,THE NETHERLANDS: GRONINGEN,53.2,6.6,,3.4,,,,,
10294,2018,1,11,6,59,47,,IRAN,IRAN: KERMANSHAH,33.713,45.724,10,5.5,5,,13,,
10295,2013,8,2,21,37,46.1,,INDIA,INDIA:  KASHMIR:  KISHTWAR,33.297,75.95,42,5.2,3,,2,,
10296,2013,8,11,21,23,41.3,,CHINA,CHINA:  TIBET (XIZANG PROVINCE): QAMDO,30.046,97.957,6,5.7,,,,,
10297,2013,8,27,20,44,53.4,,CHINA,CHINA:  YUNNAN PROVINCE: SHANGRI-LA,28.239,99.328,10,5.2,,,,,36
