time,place,mag,type,geometry
1.69716E+12,"3 km N of Mabini, Philippines",5.2,earthquake,"{'type': 'Point', 'coordinates': [120.9418, 13.7842, 10]}"
1.69716E+12,"Hindu Kush region, Afghanistan",4.9,earthquake,"{'type': 'Point', 'coordinates': [68.715, 36.0508, 10]}"
1.69715E+12,"86 km SE of Lata, Solomon Islands",4.6,earthquake,"{'type': 'Point', 'coordinates': [166.2948, -11.3364, 98.709]}"
1.69715E+12,"121 km SSE of Kuril’sk, Russia",5.1,earthquake,"{'type': 'Point', 'coordinates': [148.5026, 44.2272, 48.656]}"
1.69715E+12,Banda Sea,4.4,earthquake,"{'type': 'Point', 'coordinates': [128.9516, -6.6348, 219.181]}"
1.69714E+12,"44 km WNW of Turt, Mongolia",4.1,earthquake,"{'type': 'Point', 'coordinates': [100.0929, 51.693, 10]}"
1.69714E+12,"13 km NNE of La Libertad, Honduras",4.6,earthquake,"{'type': 'Point', 'coordinates': [-87.5663, 14.8766, 10]}"
1.69712E+12,"72 km ESE of Wainui, New Zealand",4.7,earthquake,"{'type': 'Point', 'coordinates': [178.7966, -39.0082, 10]}"
1.69711E+12,"18 km SSE of Erciş, Turkey",4.5,earthquake,"{'type': 'Point', 'coordinates': [43.4399, 38.8742, 10]}"
1.69711E+12,"Bougainville region, Papua New Guinea",5.1,earthquake,"{'type': 'Point', 'coordinates': [155.2296, -6.7721, 48.957]}"
1.6971E+12,"Sumba region, Indonesia",4.9,earthquake,"{'type': 'Point', 'coordinates': [119.915, -10.24, 27.646]}"
1.6971E+12,"47 km S of Murghob, Tajikistan",4.6,earthquake,"{'type': 'Point', 'coordinates': [74.0347, 37.7446, 10]}"
1.6971E+12,,4.7,earthquake,"{'type': 'Point', 'coordinates': [-82.6372, 6.9735, 10]}"
1.6971E+12,"150 km E of Kokopo, Papua New Guinea",4.5,earthquake,"{'type': 'Point', 'coordinates': [153.621, -4.3999, 109.234]}"
1.69709E+12,"134 km E of Taltal, Chile",4.2,earthquake,"{'type': 'Point', 'coordinates': [-69.1537, -25.3141, 122.529]}"
1.69709E+12,"175 km NE of Tual, Indonesia",5.2,earthquake,"{'type': 'Point', 'coordinates': [133.9424, -4.5769, 7.334]}"
1.69709E+12,"Araucania-Los Lagos border region, Chile",4.7,earthquake,"{'type': 'Point', 'coordinates': [-72.1358, -39.4968, 81.908]}"
1.69709E+12,"216 km E of Levuka, Fiji",4.9,earthquake,"{'type': 'Point', 'coordinates': [-178.655, -17.8008, 561.575]}"
1.69708E+12,"22 km SSE of Boca de Yuma, Dominican Republic",3.68,earthquake,"{'type': 'Point', 'coordinates': [-68.5528, 18.1818, 54]}"
1.69708E+12,"103 km ESE of Mil’kovo, Russia",4.2,earthquake,"{'type': 'Point', 'coordinates': [160.1794, 54.4949, 112.794]}"
1.69708E+12,Kermadec Islands region,4.8,earthquake,"{'type': 'Point', 'coordinates': [-176.2373, -29.3289, 10]}"
1.69708E+12,,4.4,earthquake,"{'type': 'Point', 'coordinates': [-171.2676, 52.8249, 113.189]}"
1.69708E+12,"162 km W of Nikolski, Alaska",5.6,earthquake,"{'type': 'Point', 'coordinates': [-171.2632, 52.7916, 118.401]}"
1.69707E+12,"Izu Islands, Japan region",4.1,earthquake,"{'type': 'Point', 'coordinates': [138.8555, 29.8058, 452.494]}"
